charset,Shift_JIS

0,素
1,照れ
2,驚き
3,不安
4,落ち込み
5,微笑み
6,目閉じ
7,怒り
8,冷笑
9,照れ怒り

10,素
11,照れ
12,驚き
13,不安
14,落ち込み
15,微笑み
16,目閉じ
17,怒り
18,冷笑
19,照れ怒り

31,喘ぎ1
32,喘ぎ2
33,喘ぎ3
34,喘ぎ4
35,喘ぎ5
36,喘ぎ6
37,喘ぎ7
38,喘ぎ8

40,喘ぎ1
41,喘ぎ2
42,喘ぎ3
43,喘ぎ4
44,喘ぎ5
45,喘ぎ6
46,喘ぎ7
47,喘ぎ8
48,喘ぎ9
49,喘ぎ10

110,素
111,照れ
112,驚き
113,不安
114,落ち込み
115,微笑み
116,目閉じ
117,怒り
118,冷笑
119,照れ怒り

131,喘ぎ1
132,喘ぎ2
133,喘ぎ3
134,喘ぎ4
135,喘ぎ5
136,喘ぎ6
137,喘ぎ7
138,喘ぎ8

140,喘ぎ1
141,喘ぎ2
142,喘ぎ3
143,喘ぎ4
144,喘ぎ5
145,喘ぎ6
146,喘ぎ7
147,喘ぎ8
148,喘ぎ9
149,喘ぎ10

800,着せ替えパーツ
801,着せ替えパーツ
802,着せ替えパーツ
803,着せ替えパーツ
804,着せ替えパーツ
805,着せ替えパーツ
810,着せ替えパーツ
811,着せ替えパーツ
812,着せ替えパーツ
813,着せ替えパーツ
814,着せ替えパーツ
815,着せ替えパーツ
816,着せ替えパーツ
820,着せ替えパーツ
821,着せ替えパーツ
822,着せ替えパーツ
823,着せ替えパーツ
824,着せ替えパーツ
825,着せ替えパーツ
826,着せ替えパーツ
997,着せ替えパーツ
998,着せ替えパーツ
999,着せ替えパーツ
